model;mse;r2;rmse
LinearRegression-Edwin;293.69932407355486;0.3160193066404808;17.137658068521347
LightGBMRegressor-Edwin;213.44606818988592;0.5029168345010611;14.609793571090794
GradientBoostedRegresion-Edwin;226.8315863493177;0.4717440150860198;15.06092913300231
DecisionTreeRegressor-Edwin;322.7173329489882;0.2484408132505511;17.96433502662952
RandomForestRegressor-Edwin;216.2623355999537;0.4963581795164089;14.705860586852904
LinearRegression-Marcos;329.93367023280183;0.2316350701850243;18.16407636608044
LightGBMRegressor-Marcos;267.17693502312994;0.3777858841070238;16.34554786549322
GradientBoostedRegresion-Marcos;273.5319682657848;0.3629859860911016;16.538801899345213
DecisionTreeRegressor-Marcos;291.123333623317;0.3220183934269384;17.062336698802923
RandomForestRegressor-Marcos;273.7151499858826;0.3625593839519294;16.544338910512035
LinearRegression-Brayan;334.0004545772674;0.2221641529997516;18.27567931917354
LightGBMRegressor-Brayan;282.7123111342737;0.3416063751564352;16.81405100308292
GradientBoostedRegresion-Brayan;287.90536583054984;0.3295125470108747;16.967774333440136
DecisionTreeRegressor-Brayan;303.9570764927212;0.2921305740596235;17.434364814719267
RandomForestRegressor-Brayan;263.44317472043514;0.386481239361011;16.230932650973422
DecisionTreeRegressor-Bryan;272.2375261255337;0.3660005433611791;16.499621999474222
RandomForestRegressor-Bryan;269.0254514074048;0.3734809728778577;16.401995348353346
LinearRegression-Edwin2;293.9996912921354;0.3153197974431911;17.146419197375742
LightGBMRegressor-Edwin2;237.5072014643607;0.4468821443566281;15.411268652007877
GradientBoostedRegresion-Edwin2;243.1700160111841;0.4336943175466057;15.59390958070439
DecisionTreeRegressor-Edwin2;309.9995487690603;0.2780585826098203;17.606804047556736
RandomForestRegressor-Edwin2;233.163871845266;0.4569970930843048;15.269704379760139
